time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-13 00:00:00+00:00,32,9,0,0
2026-06-14 00:00:00+00:00,40,12,1,1
2026-06-15 00:00:00+00:00,15,5,0,0
2026-06-16 00:00:00+00:00,20,7,0,0
2026-06-17 00:00:00+00:00,25,11,0,0
2026-06-18 00:00:00+00:00,42,14,0,0
2026-06-19 00:00:00+00:00,62,17,0,0
2026-06-20 00:00:00+00:00,25,7,0,0
2026-06-21 00:00:00+00:00,49,14,0,0
2026-06-22 00:00:00+00:00,25,6,0,0
2026-06-23 00:00:00+00:00,27,8,0,0
2026-06-24 00:00:00+00:00,51,14,0,0
2026-06-25 00:00:00+00:00,48,10,0,0
2026-06-26 00:00:00+00:00,24,7,0,0
